Country,Clicks,Impressions,CTR,Position
India,21,303,6.93%,18.99
United States,0,173,0%,3.58
Brazil,0,9,0%,2.33
Canada,0,5,0%,4
Mexico,0,5,0%,5.2
United Kingdom,0,4,0%,5.25
Argentina,0,3,0%,1
France,0,3,0%,3
Colombia,0,2,0%,1
Ukraine,0,2,0%,1.5
Russia,0,2,0%,2.5
Thailand,0,2,0%,5
United Arab Emirates,0,1,0%,1
Australia,0,1,0%,1
Chile,0,1,0%,1
China,0,1,0%,1
Denmark,0,1,0%,1
Dominican Republic,0,1,0%,1
Hungary,0,1,0%,1
Indonesia,0,1,0%,1
Italy,0,1,0%,1
South Korea,0,1,0%,1
Poland,0,1,0%,1
Serbia,0,1,0%,1
Taiwan,0,1,0%,1
Samoa,0,1,0%,1
South Africa,0,1,0%,1
Bangladesh,0,1,0%,2
Germany,0,1,0%,2
Philippines,0,1,0%,2
Pakistan,0,1,0%,8
Netherlands,0,1,0%,11
